"Reference_Name","ISO_639","Language_Type","DLS_Level","Raw_Score","Adjusted_Score","Proportional_Score","Content","Encoding","Surface","Localized","Meaning","Speech","Assistant"
"Mandarin Chinese","cmn","Living","Thriving",28,27.5,1,4,4,4,4,4,4,3.5
"English","eng","Living","Thriving",28,27.5,1,4,4,4,4,4,4,3.5
"French","fra","Living","Thriving",28,27.5,1,4,4,4,4,4,4,3.5
"Italian","ita","Living","Thriving",28,27.5,1,4,4,4,4,4,4,3.5
"Japanese","jpn","Living","Thriving",28,27.5,1,4,4,4,4,4,4,3.5
"German","deu","Living","Thriving",27,26.3846,0.959441,4,4,4,4,4,4,2.3846
"Korean","kor","Living","Thriving",27,26.3846,0.959441,4,4,4,4,4,4,2.3846
"Portuguese","por","Living","Thriving",27,26.3846,0.959441,4,4,4,4,4,4,2.3846
"Russian","rus","Living","Thriving",27,26.3846,0.959441,4,4,4,4,4,4,2.3846
"Spanish","spa","Living","Thriving",27,26.3846,0.959441,4,4,4,4,4,4,2.3846
"Standard Arabic","arb","Living","Thriving",26,25.5714,0.92987,4,4,4,4,4,4,1.5714
"Danish","dan","Living","Thriving",26,25.5714,0.92987,4,4,4,4,4,4,1.5714
"Hindi","hin","Living","Thriving",26,25.5714,0.92987,4,4,4,4,4,4,1.5714
"Dutch","nld","Living","Thriving",26,25.5714,0.92987,4,4,4,4,4,4,1.5714
"Norwegian","nor","Living","Thriving",26,25.5714,0.92987,4,4,4,4,4,4,1.5714
"Swedish","swe","Living","Thriving",26,25.5714,0.92987,4,4,4,4,4,4,1.5714
"Thai","tha","Living","Thriving",26,25.5714,0.92987,4,4,4,4,4,4,1.5714
"Turkish","tur","Living","Thriving",26,25.5714,0.92987,4,4,4,4,4,4,1.5714
"Finnish","fin","Living","Thriving",25,24,0.872727,4,4,4,4,4,3.6,0.4
"Hebrew","heb","Living","Thriving",25,24,0.872727,4,4,4,4,4,3.6,0.4
"Indonesian","ind","Living","Thriving",25,24,0.872727,4,4,4,4,4,3.6,0.4
"Polish","pol","Living","Thriving",25,24,0.872727,4,4,4,4,4,3.6,0.4
"Tamil","tam","Living","Thriving",25,24,0.872727,4,4,4,4,4,3.6,0.4
"Vietnamese","vie","Living","Thriving",25,24,0.872727,4,4,4,4,4,3.6,0.4
"Bulgarian","bul","Living","Thriving",24,23.0744,0.839069,4,4,4,4,3.8125,3.2619,0
"Catalan","cat","Living","Thriving",24,23.0744,0.839069,4,4,4,4,3.8125,3.2619,0
"Czech","ces","Living","Thriving",24,23.0744,0.839069,4,4,4,4,3.8125,3.2619,0
"Modern Greek (1453-)","ell","Living","Thriving",24,23.0744,0.839069,4,4,4,4,3.8125,3.2619,0
"Croatian","hrv","Living","Thriving",24,23.0744,0.839069,4,4,4,4,3.8125,3.2619,0
"Hungarian","hun","Living","Thriving",24,23.0744,0.839069,4,4,4,4,3.8125,3.2619,0
"Romanian","ron","Living","Thriving",24,23.0744,0.839069,4,4,4,4,3.8125,3.2619,0
"Slovak","slk","Living","Thriving",24,23.0744,0.839069,4,4,4,4,3.8125,3.2619,0
"Ukrainian","ukr","Living","Thriving",24,23.0744,0.839069,4,4,4,4,3.8125,3.2619,0
"Bengali","ben","Living","Vital",24,22.9633,0.835029,4,4,4,4,3.8125,2.9286,0.2222
"Gujarati","guj","Living","Vital",24,22.9633,0.835029,4,4,4,4,3.8125,2.9286,0.2222
"Marathi","mar","Living","Vital",24,22.9633,0.835029,4,4,4,4,3.8125,2.9286,0.2222
"Malay (individual language)","zlm","Living","Vital",24,22.9633,0.835029,4,4,4,4,3.8125,2.9286,0.2222
