"class","lower_limit","upper_limit","support_level"
1,1,1,"assistant"
2,2,2,"assistant"
3,3,4,"assistant"
4,5,11,"assistant"
1,1,1,"content"
2,2,2,"content"
3,3,3,"content"
4,4,23,"content"
1,1,1,"encoding"
2,2,2,"encoding"
3,3,3,"encoding"
4,4,10,"encoding"
1,1,1,"localized"
2,2,2,"localized"
3,3,12,"localized"
4,13,47,"localized"
1,1,1,"meaning"
2,2,2,"meaning"
3,3,6,"meaning"
4,7,14,"meaning"
1,1,1,"speech"
2,2,3,"speech"
3,4,8,"speech"
4,9,23,"speech"
1,1,1,"surface"
2,2,2,"surface"
3,3,3,"surface"
4,4,15,"surface"
