"rowname","Estimate","Std. Error","t value","Pr(>|t|)","model","sector_industry","number_of_observations","r2","log_t_index"
"log(distance)",-0.740929544440443,0.0312277121375482,-23.7266675565883,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000188889910892196,"fast_ppmlModel_all_sample","all",700919,"0.998332966161164",TRUE
"contiguity",0.280323002609488,0.057515840643934,4.87383996254,0.00000109937219339074,"fast_ppmlModel_all_sample","all",700919,"0.998332966161164",TRUE
"colony_of_destination_ever | colony_of_origin_ever",0.0713226147234325,0.0724693811732548,0.98417584873423,0.325035989682952,"fast_ppmlModel_all_sample","all",700919,"0.998332966161164",TRUE
"agree_eia",0.334604013275977,0.0577408629911419,5.79492574136464,0.00000000689475653238662,"fast_ppmlModel_all_sample","all",700919,"0.998332966161164",TRUE
"member_eu_joint",0.0392893191919356,0.0861837669717511,0.455878416231373,0.64848029276148,"fast_ppmlModel_all_sample","all",700919,"0.998332966161164",TRUE
"member_wto_joint",0.651506276870186,0.132623419934208,4.91245269646481,0.000000903571358997368,"fast_ppmlModel_all_sample","all",700919,"0.998332966161164",TRUE
"cl",0.435298354334643,0.123935205031088,3.51230592006083,0.000444806400363097,"fast_ppmlModel_all_sample","all",700919,"0.998332966161164",TRUE
"smcntry",9.69771430297875,2.3394870602037,0,0,"fast_ppmlModel_all_sample","all",700919,"0.998332966161164",TRUE
"log(distance)",-0.747516792171842,0.0310093260121034,-24.106192823413,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000024928275771796,"fast_ppmlModel_only_international","all",698249,"0.901197429824519",TRUE
"contiguity",0.278184550443613,0.0581317152436266,4.78541789585526,0.00000171343440217813,"fast_ppmlModel_only_international","all",698249,"0.901197429824519",TRUE
"colony_of_destination_ever | colony_of_origin_ever",0.064443929724902,0.0713070636751089,0.903752397077,0.366133074306498,"fast_ppmlModel_only_international","all",698249,"0.901197429824519",TRUE
"agree_eia",0.280490796780576,0.0572766345522611,4.89712426320451,0.000000976925790670897,"fast_ppmlModel_only_international","all",698249,"0.901197429824519",TRUE
"member_eu_joint",0.066244780405539,0.0871175683525542,0.760406674087303,0.447016777378465,"fast_ppmlModel_only_international","all",698249,"0.901197429824519",TRUE
"member_wto_joint",0.726990692173346,0.169023778483983,4.30111490048269,0.0000170411653253261,"fast_ppmlModel_only_international","all",698249,"0.901197429824519",TRUE
"cl",0.444078578192516,0.123444326093693,3.59739967194171,0.000321867509361222,"fast_ppmlModel_only_international","all",698249,"0.901197429824519",TRUE
"log(distance)",-0.750067879168679,0.035585396844809,-21.0779686521353,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000726372349950366,"fast_ppmlModel_FEVD_all","all",447970,"0.998473582246681",TRUE
"contiguity",0.243937644645772,0.0591644371163559,4.12304513547608,0.0000374970013350165,"fast_ppmlModel_FEVD_all","all",447970,"0.998473582246681",TRUE
"colony_of_destination_ever | colony_of_origin_ever",0.0897052347074581,0.0799605108039572,1.12186920525548,0.261927645158244,"fast_ppmlModel_FEVD_all","all",447970,"0.998473582246681",TRUE
"agree_eia",0.370497601959843,0.0572551499909619,6.47099172770186,0.0000000000989643934617074,"fast_ppmlModel_FEVD_all","all",447970,"0.998473582246681",TRUE
"member_eu_joint",0.0122505555061233,0.0874941235268776,0.140015752056308,0.888648548482695,"fast_ppmlModel_FEVD_all","all",447970,"0.998473582246681",TRUE
