"","ISO_639","Language_Name","Uninverted_Name","Country_Code","Country_Name","Region_Code","Region_Name","Area","Is_Primary","Is_Indigenous","Is_Established","All_Users","L1_Users","L2_Users","Family","EGIDS","Function_Code","Function_Label","Institutional","Developing","Vigorous","In_Trouble","Dying","Extinct"
"1","aaa","Ghotuo","Ghotuo","NG","Nigeria","WAF","Western Africa","Africa",TRUE,TRUE,TRUE,9000,9000,NA,"Niger-Congo","6a","","",0,0,1,0,0,0
"2","aab","Alumu-Tesu","Alumu-Tesu","NG","Nigeria","WAF","Western Africa","Africa",TRUE,TRUE,TRUE,7000,7000,NA,"Niger-Congo","6a","","",0,0,1,0,0,0
"3","aac","Ari","Ari","PG","Papua New Guinea","MEL","Melanesia","Pacific",TRUE,TRUE,TRUE,50,50,NA,"Trans-New Guinea","6b","","",0,0,0,1,0,0
"4","aad","Amal","Amal","PG","Papua New Guinea","MEL","Melanesia","Pacific",TRUE,TRUE,TRUE,830,830,NA,"Sepik","6a","","",0,0,1,0,0,0
"5","aae","Albanian, Arbëreshë","Arbëreshë Albanian","IT","Italy","SEU","Southern Europe","Europe",TRUE,TRUE,TRUE,100000,100000,NA,"Indo-European","6b","","",0,0,0,1,0,0
"6","aaf","Aranadan","Aranadan","IN","India","SAS","Southern Asia","Asia",TRUE,TRUE,TRUE,200,200,NA,"Dravidian","6b","LRN","Language of recognized nationality",0,0,0,1,0,0
"7","aag","Ambrak","Ambrak","PG","Papua New Guinea","MEL","Melanesia","Pacific",TRUE,TRUE,TRUE,290,290,NA,"Torricelli","6b","","",0,0,0,1,0,0
"8","aah","Abu’","Abu’","PG","Papua New Guinea","MEL","Melanesia","Pacific",TRUE,TRUE,TRUE,2560,2560,NA,"Torricelli","6b","","",0,0,0,1,0,0
"9","aai","Miniafia Oyan","Miniafia Oyan","PG","Papua New Guinea","MEL","Melanesia","Pacific",TRUE,TRUE,TRUE,3470,3470,NA,"Austronesian","5","","",0,1,0,0,0,0
"10","aak","Ankave","Ankave","PG","Papua New Guinea","MEL","Melanesia","Pacific",TRUE,TRUE,TRUE,1500,1500,NA,"Trans-New Guinea","6a","","",0,0,1,0,0,0
"11","aal","Afade","Afade","CM","Cameroon","MAF","Middle Africa","Africa",TRUE,TRUE,TRUE,5000,5000,NA,"Afro-Asiatic","6b","","",0,0,0,1,0,0
"12","aal","Afade","Afade","NG","Nigeria","WAF","Western Africa","Africa",FALSE,TRUE,TRUE,NA,NA,NA,"Afro-Asiatic","6a","","",0,0,1,0,0,0
"13","aan","Anambé","Anambé","BR","Brazil","SAM","South America","Americas",TRUE,TRUE,TRUE,6,6,NA,"Tupian","8b","","",0,0,0,0,1,0
"14","aao","Arabic, Algerian Saharan Spoken","Algerian Saharan Spoken Arabic","DZ","Algeria","NAF","Northern Africa","Africa",TRUE,TRUE,TRUE,135000,135000,NA,"Afro-Asiatic","6a","","",0,0,1,0,0,0
"15","aao","Arabic, Algerian Saharan Spoken","Algerian Saharan Spoken Arabic","EG","Egypt","NAF","Northern Africa","Africa",FALSE,FALSE,TRUE,30000,30000,NA,"Afro-Asiatic","6a","","",0,0,1,0,0,0
"16","aao","Arabic, Algerian Saharan Spoken","Algerian Saharan Spoken Arabic","NE","Niger","WAF","Western Africa","Africa",FALSE,FALSE,TRUE,10000,10000,NA,"Afro-Asiatic","6a","","",0,0,1,0,0,0
"17","aao","Arabic, Algerian Saharan Spoken","Algerian Saharan Spoken Arabic","TN","Tunisia","NAF","Northern Africa","Africa",FALSE,FALSE,FALSE,68000,68000,NA,"Afro-Asiatic","","","",0,0,0,0,0,0
"18","aap","Arára, Pará","Pará Arára","BR","Brazil","SAM","South America","Americas",TRUE,TRUE,TRUE,340,340,NA,"Cariban","6a","","",0,0,1,0,0,0
"19","aaq","Abenaki, Eastern","Eastern Abenaki","US","United States","NAM","Northern America","Americas",TRUE,TRUE,TRUE,NA,0,NA,"Algic","9","LRN","Language of recognized nationality",0,0,0,0,1,0
"20","aar","Afar","Afar","DJ","Djibouti","EAF","Eastern Africa","Africa",FALSE,TRUE,TRUE,196000,196000,NA,"Afro-Asiatic","5","","",0,1,0,0,0,0
"21","aar","Afar","Afar","ER","Eritrea","EAF","Eastern Africa","Africa",FALSE,TRUE,TRUE,505000,505000,NA,"Afro-Asiatic","5","","",0,1,0,0,0,0
"22","aar","Afar","Afar","ET","Ethiopia","EAF","Eastern Africa","Africa",TRUE,TRUE,TRUE,1862800,1840000,22800,"Afro-Asiatic","2","DPI","De facto language of provincial identity",1,0,0,0,0,0
"23","aas","Aasáx","Aasáx","TZ","Tanzania","EAF","Eastern Africa","Africa",TRUE,TRUE,TRUE,NA,0,NA,"Afro-Asiatic","9","","",0,0,0,0,1,0
"24","aat","Albanian, Arvanitika","Arvanitika Albanian","GR","Greece","SEU","Southern Europe","Europe",TRUE,TRUE,TRUE,50000,50000,NA,"Indo-European","8a","","",0,0,0,0,1,0
"25","aau","Abau","Abau","PG","Papua New Guinea","MEL","Melanesia","Pacific",TRUE,TRUE,TRUE,7500,7500,NA,"Sepik","5","","",0,1,0,0,0,0
"26","aaw","Solong","Solong","PG","Papua New Guinea","MEL","Melanesia","Pacific",TRUE,TRUE,TRUE,4160,4160,NA,"Austronesian","5","","",0,1,0,0,0,0
"27","aax","Mandobo Atas","Mandobo Atas","ID","Indonesia","SEA","South-Eastern Asia","Asia",TRUE,TRUE,TRUE,10000,10000,NA,"Trans-New Guinea","6a","","",0,0,1,0,0,0
"28","aaz","Amarasi","Amarasi","ID","Indonesia","SEA","South-Eastern Asia","Asia",TRUE,TRUE,TRUE,70000,70000,NA,"Austronesian","5","","",0,1,0,0,0,0
"29","aba","Abé","Abé","CI","Côte d’Ivoire","WAF","Western Africa","Africa",TRUE,TRUE,TRUE,268000,268000,NA,"Niger-Congo","6a","","",0,0,1,0,0,0
