date,Gross_Capital_Formation_const_2015usd,Gross_Capital_Formation_annual_growth,Gross_Fixed_Capital_Formation_const_2015usd,Gross_Fixed_Capital_Formation_annual_growth,household_consu,Country_ISO
2021,,,,,,AFE
2020,244418880422.312,-2.26411984951379,248039597819.264,20.6389663212687,603617526844.441,AFE
2019,250081014307.104,5.78071701521725,251050796418.193,21.6226247909519,660582761153.706,AFE
2018,236414557741.302,4.48880122248426,234429667499.18,21.49426189043,658180098549.903,AFE
2017,226258273590.404,3.47230734015528,223326257939.542,22.6524916285509,630112848729.389,AFE
2016,218665534196.123,-6.41738229881925,218896557937.877,23.0262287735076,563994849801.708,AFE
2015,233660416397.354,-3.41582209761238,220617979733.153,23.9820393164016,584770782944.801,AFE
2014,241924113733.723,-9.29863426367869,229486727276.499,23.9744484914133,615482993494.269,AFE
2013,266725987828.036,-11.4264707517476,258747925469.89,22.8114917224335,611606825208.989,AFE
2012,301135102204.702,-33.876803839974,302200293208.032,21.925481251296,604411899266.99,AFE
2011,455415224448.496,-0.640216069465993,487473594374.229,21.3110868865874,583412156875.993,AFE
2010,458349652578.646,-8.35753032968682,499001290730.735,21.4402030386581,528520381307.898,AFE
2009,500149825978.691,-21.9762637449923,547392900727.063,23.649393152828,447977240392.012,AFE
2008,641022655393.013,6.41034230564361,714766553694.713,23.6096224442373,425077300861.891,AFE
2007,602406346510.752,7.02889467134433,677007276532.166,21.4682057345713,409390533049.314,AFE
2006,562844592911.636,13.3684758094841,631879800158.389,19.9385363136844,361479006614.694,AFE
2005,496473635102.493,8.35818664468675,555268410199.516,19.1204353353034,329392190025.868,AFE
2004,458178242434.475,10.0285766773332,510237843758.47,18.3598622840244,286333027539.423,AFE
2003,416417494682.418,8.42273438074808,467021890761.295,17.6674291770902,229866846466.04,AFE
2002,384068430906.829,11.344426768957,431598416699.796,17.2439001225173,174002019354.908,AFE
2001,344937274412.291,6.77331104104806,387802639547.518,17.0129383108955,174285176909.103,AFE
2000,323055706570.421,,377535441967.204,16.5215256054346,196111045212.333,AFE
1999,,,327978488725.514,16.1261219671608,182665914348.493,AFE
1998,,,338904908655.457,17.6341557781775,186309117786.124,AFE
1997,,,290572728991.045,16.6715529138114,194921449924.454,AFE
1996,,,214137083651.686,17.3455056296404,181917855795.432,AFE
1995,,,147190299710.623,17.0820559076641,186310351394.216,AFE
1994,,,140605506715.698,17.074775103608,163485763423.189,AFE
1993,,,137108069620.548,,152302778648.637,AFE
1992,,,,,141695761480.16,AFE
1991,,,,,139172756457.123,AFE
1990,,,,,134527446184.403,AFE
1989,,,,,,AFE
1988,,,,,,AFE
1987,,,,,,AFE
1986,,,,,,AFE
1985,,,,,,AFE
1984,,,,,,AFE
1983,,,,,,AFE
1982,,,,,,AFE
1981,,,,,,AFE
1980,,,,,,AFE
1979,,,,,,AFE
1978,,,,,,AFE
1977,,,,,,AFE
1976,,,,,,AFE
1975,,,,,,AFE
1974,,,,,,AFE
1973,,,,,,AFE
1972,,,,,,AFE
1971,,,,,,AFE
1970,,,,,,AFE
1969,,,,,,AFE
1968,,,,,,AFE
1967,,,,,,AFE
1966,,,,,,AFE
1965,,,,,,AFE
1964,,,,,,AFE
1963,,,,,,AFE
1962,,,,,,AFE
1961,,,,,,AFE
1960,,,,,,AFE
2021,,,,,,AFW
2020,159717141092.317,-4.21029964424397,153969801496.235,25.3569216323494,542351277726.873,AFW
2019,166737280207.725,4.6133457796727,160990829625.116,23.1559733319435,570133620343.968,AFW
2018,159384329948.583,10.6665323683935,150956061384.773,20.1039240258292,535899596036.588,AFW
2017,144022159669.75,-3.36258493413364,136432330987.214,17.5815897652613,511979630497.588,AFW
2016,149033538998.934,-0.0846194564244485,143601859314.85,19.0638137342683,524752660620.214,AFW
2015,149159757174.659,-0.886262095831199,144420756202.372,18.9845037787444,567486637539.401,AFW
2014,150493524236.649,10.5056549675827,145413041800.124,19.2810692501786,595305505340.651,AFW
2013,136186265110.864,1.35327605356046,130910971536.327,18.1782027694312,575297856263.108,AFW
2012,134367896543.271,15.6285760471937,128786746906.445,17.7958997402146,437383696477.935,AFW
2011,116206478654.921,-5.66887182771066,117023736685.919,18.4683058540581,436148881635.175,AFW
2010,123189959567.406,8.23995330713356,118549379006.536,19.4281580040366,393419358548.33,AFW
2009,113811911224.547,1.39248269651728,114265677050.794,22.261025473812,341543507712.778,AFW
2008,112248865199.605,2.77250569133562,109699303150.816,19.9804697569326,350138110885.215,AFW
2007,109220714669.282,-9.09629984110582,106771944057.613,20.9093036153692,305157242344.31,AFW
2006,120149910815.919,30.1111612280532,115289800170.988,23.8196040854159,218519726196.002,AFW
2005,92344046184.728,4.73288241093921,87869697286.2264,23.0351267170901,187322129004.184,AFW
2004,88171015691.5177,-14.2776286417548,85279948486.8374,23.4384405400186,153359246008.639,AFW
2003,102856482263.001,19.4680957675083,99802223824.4695,24.6553866143485,129952080693.24,AFW
2002,86095355920.9364,8.10062422503741,86173287486.0211,24.2451879481326,113450965699.774,AFW
2001,79643717636.3647,-17.0374904259244,78908802937.91,25.5309092111959,89368808133.3836,AFW
2000,95999648570.4816,6.10725764975545,96049182769.3075,27.219966259462,69431378285.9259,AFW
1999,90474158598.4272,1.19427484372261,90859437518.6024,28.5019024067654,78445661288.016,AFW
1998,89406400449.1847,2.05091336585387,90200454893.9222,29.7796153202654,77633329466.2535,AFW
1997,87609603383.6185,5.81770913171995,88051878023.792,28.8251296889291,71670816965.3994,AFW
1996,82792950350.6485,6.10185372274623,83730734513.496,27.6104165834249,72564216830.4284,AFW
1995,78031577626.3381,-5.2472729977838,78429674944.8493,27.3407326595833,63837868478.8074,AFW
1994,82352856846.5507,0.181060211335947,83044679377.0081,30.601901613361,49934921325.5422,AFW
1993,82204018077.6926,6.21004077616183,83471871622.7758,24.9776906596393,60087532965.6063,AFW
1992,77397595817.6478,-0.622849608898022,77718684532.4854,28.0895894069584,68252932223.2755,AFW
1991,77882687834.2225,-0.728082309524382,78226041836.5375,31.0040422622958,63497239334.4231,AFW
1990,78453896777.7941,13.1620229961888,78707257005.9211,33.8899190885805,62556237362.0363,AFW
1989,69328821366.5431,1.27160731329525,70268409038.162,33.3933985987338,51744190854.6765,AFW
1988,68458300609.4359,3.9905687011772,68957191737.6795,31.0638101402991,63432682865.7067,AFW
1987,65831258992.4906,-9.37727507409187,65877264000.46,34.9467142090735,59812677440.262,AFW
1986,72643212887.621,-2.52675453343629,71991914869.5258,39.3214505763454,56615746214.68,AFW
1985,74526309799.0718,-9.73716202632356,73700524606.3261,37.7658108847361,61177094078.3058,AFW
1984,82565883670.5379,-24.8741007913085,,46.5900189270957,50764796604.1389,AFW
1983,109903354955.099,-19.185732182583,,62.8552040899991,45449929077.1541,AFW
1982,135994989403.854,-15.6600486960463,,75.0548697752347,43855049065.4599,AFW
1981,161246227086.07,,,79.2316541691297,44412429234.978,AFW
1980,,,,,,AFW
1979,,,,,,AFW
1978,,,,,,AFW
1977,,,,,,AFW
1976,,,,,,AFW
1975,,,,,,AFW
1974,,,,,,AFW
1973,,,,,,AFW
1972,,,,,,AFW
1971,,,,,,AFW
1970,,,,,,AFW
1969,,,,,,AFW
1968,,,,,,AFW
1967,,,,,,AFW
1966,,,,,,AFW
1965,,,,,,AFW
1964,,,,,,AFW
1963,,,,,,AFW
1962,,,,,,AFW
1961,,,,,,AFW
1960,,,,,,AFW
2021,,,,,,ARB
2020,638123908430.283,-13.3356896936354,552372998411.843,21.0110260375734,1368937483669.4,ARB
2019,736316836970.684,5.23867293264612,617205128452.359,20.8920586306807,1325832381995.0,ARB
2018,699663741904.019,-2.17636017834303,607238597031.089,20.6917366877147,1269155846358.7,ARB
2017,715229716640.662,2.5002591558186,616383432475.082,23.7167288116445,1213372237156.67,ARB
2016,697783325165.438,-2.03878344178764,627526103916.85,25.3427939256949,1235061917822.57,ARB
2015,712305695745.201,4.68031339589049,657591647908.682,26.6925243150637,1212525198268.76,ARB
2014,680458123058.28,-1.36127535599483,636893338190.833,23.3386604586456,1217672844049.22,ARB
2013,689848865660.121,-2.79156434768892,642864341995.887,22.1231484879275,1132291232090.22,ARB
2012,709659466311.677,-17.7694673743146,669067866764.368,21.3195945419919,1082671903170.99,ARB
2011,863012124148.651,-0.375883769771534,841806958551.964,22.78538128811,999168558799.219,ARB
2010,866268286038.547,-1.45908957109444,834368714679.346,24.2443800605033,1043928315528.83,ARB
2009,879095070532.695,-14.8253692496101,856133452945.416,25.4346889760383,990805280407.443,ARB
2008,1032109047949.9,10.6350201879013,1014874146637.61,22.9248907748748,981167943800.087,ARB
2007,932895430576.125,13.4718110115415,935942755103.539,22.8442178107147,810045788253.449,ARB
2006,822138487312.27,15.6197160341705,827638083709.021,20.8520531111608,665258380913.922,ARB
2005,711071187088.276,9.0550731707275,729593333981.898,20.4565469781022,571681341492.556,ARB
2004,652029443852.724,10.819365753064,656635881186.154,20.2277209669918,503679099646.402,ARB
2003,588371391066.815,6.39309783494694,597361780981.424,20.4868204323869,444009603757.168,ARB
2002,553016504867.248,12.8399730543061,553723440092.908,20.0367738746275,417079197186.8,ARB
2001,490089185506.186,3.88389157611972,503809074905.986,19.6055005950186,410684969612.529,ARB
2000,471766294148.769,,492988937949.171,18.3033892950135,407427135795.866,ARB
1999,,,,20.4627824864626,405293065546.026,ARB
1998,,,,22.3285716184082,396141727828.715,ARB
1997,,,,20.9886979321169,386719079806.088,ARB
1996,,,,21.6058719898673,365455616861.496,ARB
1995,,,,22.8959036017742,336396477931.452,ARB
1994,,,,24.1392088456295,308567507868.414,ARB
1993,,,,24.741292315398,295423229458.744,ARB
1992,,,,23.5649476393637,272651411715.215,ARB
1991,,,,23.5381157694807,258243762959.823,ARB
1990,,,,20.5278602751907,357180903466.608,ARB
