"","ISO_639","cluster","adjusted_total","raw_total","encoding","content","localized","surface","meaning","speech","assistant","Language_Name.x","GLP","L1","GLP2","All","rank","rank2","Language_Name.y","Uninverted_Name","Country_Code","Country_Name","Region_Code","Region_Name","Area","L1_Users","Digits","All_Users","Countries","Family","Classification","Latitude","Longitude","EGIDS","Is_Written","Institutional","Developing","Vigorous","In_Trouble","Dying","Extinct"
"1","aaa","emerging",0.139225181598063,1,0,0.139225181598063,0,0,0,0,0,"Ghotuo",48590000,9000,24250000,9000,3598,3768,"Ghotuo","Ghotuo","NG","Nigeria","WAF","Western Africa","Africa",9000,4,9000,1,"Niger-Congo","Niger-Congo, Atlantic-Congo, Volta-Congo, Benue-Congo, Edoid, North-Central, Ghotuo-Uneme-Yekhee",7.1154,5.9529,"6a",FALSE,0,0,1,0,0,0
"2","aab","still",0,0,0,0,0,0,0,0,0,"Alumu-Tesu",37790000,7000,18860000,7000,3854,4005,"Alumu-Tesu","Alumu-Tesu","NG","Nigeria","WAF","Western Africa","Africa",7000,4,7000,1,"Niger-Congo","Niger-Congo, Atlantic-Congo, Volta-Congo, Benue-Congo, Plateau, Alumic",9.0164,8.612,"6a",FALSE,0,0,1,0,0,0
"3","aac","still",0,0,0,0,0,0,0,0,0,"Ari",354900,50,138000,50,6481,6568,"Ari","Ari","PG","Papua New Guinea","MEL","Melanesia","Pacific",50,2,50,1,"Trans-New Guinea","Trans-New Guinea, Gogodala-Suki, Gogodala",-7.9172,142.3877,"6b",TRUE,0,0,0,1,0,0
"4","aad","still",0,0,0,0,0,0,0,0,0,"Amal",5891000,830,2290000,830,5460,5713,"Amal","Amal","PG","Papua New Guinea","MEL","Melanesia","Pacific",830,3,830,1,"Sepik","Sepik, Iwam",-4.0487,141.9967,"6a",FALSE,0,0,1,0,0,0
"5","aae","emerging",0.18696397941681,1,0.18696397941681,0,0,0,0,0,0,"Albanian, Arb�resh�",2.953e+09,1e+05,2.098e+09,1e+05,679,677,"Albanian, Arbëreshë","Arbëreshë Albanian","IT","Italy","SEU","Southern Europe","Europe",100000,6,100000,1,"Indo-European","Indo-European, Albanian, Tosk",38.8985,16.7019,"6b",TRUE,0,0,0,1,0,0
"6","aaf","still",0,0,0,0,0,0,0,0,0,"Aranadan",1139000,200,761400,200,6281,6251,"Aranadan","Aranadan","IN","India","SAS","Southern Asia","Asia",200,3,200,1,"Dravidian","Dravidian, Southern, Tamil-Kannada, Tamil-Kodagu, Tamil-Malayalam, Malayalam",11.3277,76.131,"6b",FALSE,0,0,0,1,0,0
"7","aag","still",0,0,0,0,0,0,0,0,0,"Ambrak",2058000,290,800100,290,6106,6235,"Ambrak","Ambrak","PG","Papua New Guinea","MEL","Melanesia","Pacific",290,3,290,1,"Torricelli","Torricelli, Wapei-Palei, Palei",-3.604,142.5351,"6b",FALSE,0,0,0,1,0,0
"8","aah","still",0,0,0,0,0,0,0,0,0,"Abu�",18170000,2560,7063000,2560,4544,4885,"Abu’","Abu’","PG","Papua New Guinea","MEL","Melanesia","Pacific",2560,4,2560,1,"Torricelli","Torricelli, Kombio-Arapesh, Arapesh",-3.4341,142.965,"6b",FALSE,0,0,0,1,0,0
"9","aai","emerging",0.958583901744719,2,0.528774542992552,0.429809358752166,0,0,0,0,0,"Miniafia Oyan",24630000,3470,9574000,3470,4282,4651,"Miniafia Oyan","Miniafia Oyan","PG","Papua New Guinea","MEL","Melanesia","Pacific",3470,4,3470,1,"Austronesian","Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic, Papuan Tip, Nuclear, North Papuan Mainland-D’Entrecasteaux, Are-Taupota, Are",-9.2356,149.1962,"5",TRUE,0,1,0,0,0,0
"10","aak","emerging",0.958583901744719,2,0.528774542992552,0.429809358752166,0,0,0,0,0,"Ankave",10650000,1500,4139000,1500,5051,5312,"Ankave","Ankave","PG","Papua New Guinea","MEL","Melanesia","Pacific",1500,4,1500,1,"Trans-New Guinea","Trans-New Guinea, Angan, Nuclear Angan",-7.2181,145.7673,"6a",TRUE,0,0,1,0,0,0
"11","aal","emerging",0.18696397941681,1,0.18696397941681,0,0,0,0,0,0,"Afade",40170000,5000,9602000,5000,3794,4640,"Afade","Afade","CM","Cameroon","MAF","Middle Africa","Africa",5000,4,5000,2,"Afro-Asiatic","Afro-Asiatic, Chadic, Biu-Mandara, B, B.1, Kotoko Proper, North",12.2133,14.7524,"6a",TRUE,0,0,1,0,0,0
"12","aan","still",0,0,0,0,0,0,0,0,0,"Anamb�",87300,6,81240,6,6614,6615,"Anambé","Anambé","BR","Brazil","SAM","South America","Americas",6,1,6,1,"Tupian","Tupian, Tupí-Guaraní, Wayampí, Amanayé",-2.7139,-49.2988,"8b",FALSE,0,0,0,0,1,0
"13","aao","still",0,0,0,0,0,0,0,0,0,"Arabic, Algerian Saharan Spoken",2.544e+09,243000,1.154e+09,243000,749,870,"Arabic, Algerian Saharan Spoken","Algerian Saharan Spoken Arabic","DZ","Algeria","NAF","Northern Africa","Africa",243000,6,243000,3,"Afro-Asiatic","Afro-Asiatic, Semitic, Central, South, Arabic",28.3757,5.3649,"6a",FALSE,0,0,1,0,0,0
"14","aap","still",0,0,0,0,0,0,0,0,0,"Ar�ra, Par�",4947000,340,4603000,340,5613,5242,"Arára, Pará","Pará Arára","BR","Brazil","SAM","South America","Americas",340,3,340,1,"Cariban","Cariban, South Amazonian, Arara",-3.7443,-53.1231,"6a",TRUE,0,0,1,0,0,0
"15","aaq","still",0,0,0,0,0,0,0,0,0,"Abenaki, Eastern",0,0,0,0,6716,6743,"Abenaki, Eastern","Eastern Abenaki","US","United States","NAM","Northern America","Americas",0,0,NA,1,"Algic","Algic, Algonquian, Eastern Algonquian, Abenaki",44.9423,-68.7328,"9",FALSE,0,0,0,0,1,0
"16","aar","ascending",7.70634651497342,10,2.61290322580645,3.46356275303644,0.745265151515151,0.884615384615385,0,0,0,"Afar",3.948e+09,2036000,3.068e+09,2058800,599,579,"Afar","Afar","ET","Ethiopia","EAF","Eastern Africa","Africa",2541000,7,2563800,3,"Afro-Asiatic","Afro-Asiatic, Cushitic, East, Saho-Afar",11.9963,41.225,"2",TRUE,1,0,0,0,0,0
"17","aas","still",0,0,0,0,0,0,0,0,0,"Aas�x",0,0,0,0,6717,6744,"Aasáx","Aasáx","TZ","Tanzania","EAF","Eastern Africa","Africa",0,0,NA,1,"Afro-Asiatic","Afro-Asiatic, Cushitic, South",-4.0022,36.8687,"9",FALSE,0,0,0,0,1,0
"18","aat","still",0,0,0,0,0,0,0,0,0,"Albanian, Arvanitika",1.311e+09,50000,818700000,50000,996,1016,"Albanian, Arvanitika","Arvanitika Albanian","GR","Greece","SEU","Southern Europe","Europe",50000,5,50000,1,"Indo-European","Indo-European, Albanian, Tosk",38.283,23.3703,"8a",TRUE,0,0,0,0,1,0
"19","aau","emerging",0.958583901744719,2,0.528774542992552,0.429809358752166,0,0,0,0,0,"Abau",53230000,7500,20690000,7500,3525,3896,"Abau","Abau","PG","Papua New Guinea","MEL","Melanesia","Pacific",7500,4,7500,1,"Sepik","Sepik, Abau",-4.07,141.1713,"5",TRUE,0,1,0,0,0,0
"20","aaw","still",0,0,0,0,0,0,0,0,0,"Solong",29530000,4160,11480000,4160,4077,4459,"Solong","Solong","PG","Papua New Guinea","MEL","Melanesia","Pacific",4160,4,4160,1,"Austronesian","Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic, North New Guinea, Ngero-Vitiaz, Vitiaz, Southwest New Britain, Arawe-Pasismanua, Arawe, West Arawe",-5.9064,148.8789,"5",TRUE,0,1,0,0,0,0
"21","aax","still",0,0,0,0,0,0,0,0,0,"Mandobo Atas",117900000,10000,68240000,10000,2755,2797,"Mandobo Atas","Mandobo Atas","ID","Indonesia","SEA","South-Eastern Asia","Asia",10000,5,10000,1,"Trans-New Guinea","Trans-New Guinea, Ok-Awyu, Awyu-Dumut, Dumut",-5.9961,140.5105,"6a",FALSE,0,0,1,0,0,0
"22","aaz","emerging",0.139225181598063,1,0,0.139225181598063,0,0,0,0,0,"Amarasi",825600000,70000,477700000,70000,1244,1321,"Amarasi","Amarasi","ID","Indonesia","SEA","South-Eastern Asia","Asia",70000,5,70000,1,"Austronesian","Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Timor-Babar, Nuclear Timor, Uab Meto",-10.2341,123.8968,"5",TRUE,0,1,0,0,0,0
"23","aba","still",0,0,0,0,0,0,0,0,0,"Ab�",1.478e+09,268000,806300000,268000,942,1027,"Abé","Abé","CI","Côte d’Ivoire","WAF","Western Africa","Africa",268000,6,268000,1,"Niger-Congo","Niger-Congo, Atlantic-Congo, Volta-Congo, Kwa, Nyo, Agneby",5.9065,-4.2749,"6a",TRUE,0,0,1,0,0,0
"24","abb","emerging",0.18696397941681,1,0.18696397941681,0,0,0,0,0,0,"Bankon",96410000,12000,23040000,12000,2951,3814,"Bankon","Bankon","CM","Cameroon","MAF","Middle Africa","Africa",12000,5,12000,1,"Niger-Congo","Niger-Congo, Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern, Narrow Bantu, Northwest, A, Basaa (A.42)",4.3782,9.6498,"6b",FALSE,0,0,0,1,0,0
"25","abc","emerging",0.958583901744719,2,0.528774542992552,0.429809358752166,0,0,0,0,0,"Ayta, Ambala",17360000,1660,7411000,1660,4595,4862,"Ayta, Ambala","Ambala Ayta","PH","Philippines","SEA","South-Eastern Asia","Asia",1660,4,1660,1,"Austronesian","Austronesian, Malayo-Polynesian, Central Luzon, Sambalic",14.8626,120.285,"6b",TRUE,0,0,0,1,0,0
"26","abd","still",0,0,0,0,0,0,0,0,0,"Manide",39750000,3800,16960000,3800,3808,4096,"Manide","Manide","PH","Philippines","SEA","South-Eastern Asia","Asia",3800,4,3800,1,"Austronesian","Austronesian, Malayo-Polynesian, Greater Central Philippine, Umiray Dumaget",14.1574,122.8341,"6b",FALSE,0,0,0,1,0,0
"27","abe","emerging",0.18696397941681,1,0.18696397941681,0,0,0,0,0,0,"Abenaki, Western",741200,14,548800,14,6367,6349,"Abenaki, Western","Western Abenaki","CA","Canada","NAM","Northern America","Americas",14,2,14,2,"Algic","Algic, Algonquian, Eastern Algonquian, Abenaki",46.1883,-72.6183,"8b",TRUE,0,0,0,0,1,0
"28","abf","still",0,0,0,0,0,0,0,0,0,"Abai Sungai",0,0,0,0,6718,6745,"Abai Sungai","Abai Sungai","MY","Malaysia","SEA","South-Eastern Asia","Asia",NA,NA,NA,1,"Austronesian","Austronesian, Malayo-Polynesian, North Borneo, Sabahan, Paitanic",5.6857,118.3779,"7",FALSE,0,0,0,1,0,0
"29","abg","still",0,0,0,0,0,0,0,0,0,"Wagama",4258000,600,1655000,600,5705,5936,"Wagama","Wagama","PG","Papua New Guinea","MEL","Melanesia","Pacific",600,3,600,1,"Trans-New Guinea","Trans-New Guinea, Madang, Kalam-Kobon",-6.0952,145.6701,"6b",FALSE,0,0,0,1,0,0
"30","abh","emerging",0.18696397941681,1,0.18696397941681,0,0,0,0,0,0,"Arabic, Tajiki Spoken",39450000,17300,35800000,17300,3819,3409,"Arabic, Tajiki Spoken","Tajiki Spoken Arabic","TJ","Tajikistan","CAS","Central Asia","Asia",17300,5,17300,2,"Afro-Asiatic","Afro-Asiatic, Semitic, Central, South, Arabic",37.3458,68.1508,"6b",TRUE,0,0,0,1,0,0
"31","abi","emerging",0.18696397941681,1,0.18696397941681,0,0,0,0,0,0,"Abidji",468900000,85000,255700000,85000,1605,1732,"Abidji","Abidji","CI","Côte d’Ivoire","WAF","Western Africa","Africa",85000,5,85000,1,"Niger-Congo","Niger-Congo, Atlantic-Congo, Volta-Congo, Kwa, Nyo, Agneby",5.643,-4.5988,"6a",TRUE,0,0,1,0,0,0
"32","abj","still",0,0,0,0,0,0,0,0,0,"Aka-Bea",0,0,0,0,6719,6746,"Aka-Bea","Aka-Bea","IN","India","SAS","Southern Asia","Asia",0,0,0,1,"Andamanese","Andamanese, Great Andamanese, Central",11.6374,92.6189,"x10",FALSE,0,0,0,0,0,1
"33","abk","ascending",6.73451745113312,9,1.94736842105263,3.28938188494492,0.603030303030303,0.894736842105263,0,0,0,"Abkhaz",2.798e+09,189390,2.13e+09,189390,709,672,"Abkhaz","Abkhaz","GE","Georgia","WAS","Western Asia","Asia",194390,6,194390,2,"Abkhaz-Adyghe","Abkhaz-Adyghe, Abkhaz-Abazin",42.8268,41.5652,"2",TRUE,1,0,0,0,0,0
"34","abl","still",0,0,0,0,0,0,0,0,0,"Lampung Nyo",2.123e+09,180000,1.228e+09,180000,803,848,"Lampung Nyo","Lampung Nyo","ID","Indonesia","SEA","South-Eastern Asia","Asia",180000,6,180000,1,"Austronesian","Austronesian, Malayo-Polynesian, Lampung",-4.4888,105.2988,"6a",TRUE,0,0,1,0,0,0
