,L1_Users,ISO_HHI,count,ISO_639,hhi_rank
All countries,9000.0,1.0,1,aaa,1075.0
All countries,7000.0,1.0,1,aab,1075.0
All countries,50.0,1.0,1,aac,1075.0
All countries,830.0,1.0,1,aad,1075.0
All countries,100000.0,1.0,1,aae,1075.0
All countries,200.0,1.0,1,aaf,1075.0
All countries,290.0,1.0,1,aag,1075.0
All countries,2560.0,1.0,1,aah,1075.0
All countries,3470.0,1.0,1,aai,1075.0
All countries,1500.0,1.0,1,aak,1075.0
All countries,5000.0,1.0,1,aal,1075.0
All countries,6.0,1.0,1,aan,1075.0
All countries,243000.0,0.4038849091432539,4,aao,49.0
All countries,340.0,1.0,1,aap,1075.0
All countries,2541000.0,0.5698037428208085,3,aar,311.0
All countries,50000.0,1.0,1,aat,1075.0
All countries,7500.0,1.0,1,aau,1075.0
All countries,4160.0,1.0,1,aaw,1075.0
All countries,10000.0,1.0,1,aax,1075.0
All countries,70000.0,1.0,1,aaz,1075.0
All countries,268000.0,1.0,1,aba,1075.0
All countries,12000.0,1.0,1,abb,1075.0
All countries,1660.0,1.0,1,abc,1075.0
All countries,3800.0,1.0,1,abd,1075.0
All countries,14.0,0.5918367346938775,2,abe,346.0
All countries,600.0,1.0,1,abg,1075.0
All countries,17300.0,0.8610043770256273,2,abh,744.0
All countries,85000.0,1.0,1,abi,1075.0
All countries,194390.0,0.5054337598836096,5,abk,153.0
All countries,180000.0,1.0,1,abl,1075.0
All countries,12500.0,1.0,1,abm,1075.0
All countries,25000.0,1.0,1,abn,1075.0
All countries,1000.0,1.0,1,abo,1075.0
All countries,3000.0,1.0,1,abp,1075.0
All countries,51000.0,0.6163321799307959,2,abq,381.0
All countries,1393000.0,0.7310828576272812,2,abr,531.0
All countries,250900.0,0.6765728669734352,2,abs,468.0
All countries,33000.0,1.0,1,abt,1075.0
All countries,93000.0,1.0,1,abu,1075.0
All countries,889900.0,0.9605799566045652,2,abv,928.0
All countries,1160.0,1.0,1,abw,1075.0
All countries,26400.0,1.0,1,abx,1075.0
All countries,650.0,1.0,1,aby,1075.0
All countries,16000.0,1.0,1,abz,1075.0
All countries,250.0,1.0,1,aca,1075.0
All countries,10400.0,1.0,1,acd,1075.0
All countries,3500000.0,1.0,1,ace,1075.0
All countries,688703.0,0.3622375870979078,6,acf,32.0
All countries,1588000.0,0.8953105469865301,2,ach,791.0
All countries,18774400.0,0.7342344221863649,11,acm,539.0
All countries,62700.0,0.5067776734863111,2,acn,162.0
All countries,5000.0,1.0,1,acp,1075.0
All countries,11343400.0,0.8421640324530021,11,acq,720.0
All countries,124000.0,1.0,1,acr,1075.0
All countries,211000.0,1.0,1,act,1075.0
All countries,7940.0,0.5064241255258266,2,acu,159.0
All countries,10.0,1.0,1,acv,1075.0
All countries,10728200.0,0.9229702935136185,4,acw,826.0
All countries,2851200.0,0.580460775922336,8,acx,331.0
All countries,9760.0,1.0,1,acy,1075.0
All countries,20000.0,1.0,1,acz,1075.0
All countries,1020000.0,1.0,1,ada,1075.0
All countries,5000.0,1.0,1,adb,1075.0
All countries,2600.0,1.0,1,add,1075.0
All countries,37400.0,0.5847750865051904,2,ade,337.0
All countries,125000.0,1.0,1,adf,1075.0
All countries,482000.0,1.0,1,adh,1075.0
All countries,151090.0,0.9856756042762764,2,adi,1005.0
All countries,140000.0,1.0,1,adj,1075.0
All countries,29200.0,1.0,1,adl,1075.0
All countries,3000.0,1.0,1,adn,1075.0
All countries,4200.0,1.0,1,ado,1075.0
All countries,4000.0,1.0,1,adq,1075.0
All countries,98000.0,1.0,1,adr,1075.0
All countries,41.0,1.0,1,ads,1075.0
All countries,140.0,1.0,1,adt,1075.0
All countries,1900.0,1.0,1,adu,1075.0
All countries,83.0,1.0,1,adw,1075.0
All countries,1800000.0,1.0,1,adx,1075.0
All countries,607500.0,0.38652863892699285,7,ady,43.0
All countries,30000.0,1.0,1,adz,1075.0
All countries,11656310.0,0.8603419641845532,8,aeb,742.0
All countries,24100000.0,1.0,1,aec,1075.0
All countries,60000.0,1.0,1,aed,1075.0
All countries,54400.0,1.0,1,aee,1075.0
All countries,300.0,1.0,1,aek,1075.0
All countries,5000.0,1.0,1,ael,1075.0
All countries,270.0,0.8628257887517148,2,aem,747.0
All countries,3150.0,1.0,1,aen,1075.0
All countries,100.0,1.0,1,aeq,1075.0
All countries,1910.0,1.0,1,aer,1075.0
All countries,12400.0,0.6644120707596253,4,aeu,451.0
All countries,770.0,1.0,1,aew,1075.0
All countries,5300.0,1.0,1,aey,1075.0
All countries,3400.0,1.0,1,aez,1075.0
All countries,10515400.0,0.20158022954194013,10,afb,5.0
All countries,440.0,1.0,1,afd,1075.0
All countries,70000.0,1.0,1,afe,1075.0
All countries,190000.0,1.0,1,afg,1075.0
All countries,60.0,1.0,1,afi,1075.0
All countries,1270.0,1.0,1,afk,1075.0
All countries,200.0,1.0,1,afn,1075.0
All countries,25000.0,1.0,1,afo,1075.0
All countries,250.0,1.0,1,afp,1075.0
All countries,7204780.0,0.9070007538001236,12,afr,799.0
All countries,200.0,1.0,1,afs,1075.0
All countries,4000.0,1.0,1,aft,1075.0
All countries,129000.0,1.0,1,afu,1075.0
All countries,120.0,1.0,1,afz,1075.0
All countries,60000.0,1.0,1,agb,1075.0
All countries,70000.0,1.0,1,agc,1075.0
All countries,27000.0,1.0,1,agd,1075.0
All countries,18600.0,1.0,1,age,1075.0
All countries,150.0,1.0,1,agf,1075.0
All countries,1500.0,1.0,1,agg,1075.0
All countries,13600.0,1.0,1,agh,1075.0
All countries,72000.0,1.0,1,agi,1075.0
All countries,43700.0,1.0,1,agj,1075.0
All countries,12.0,1.0,1,agk,1075.0
All countries,350.0,1.0,1,agl,1075.0
All countries,2500.0,1.0,1,agm,1075.0
All countries,15000.0,1.0,1,agn,1075.0
All countries,1000.0,1.0,1,ago,1075.0
All countries,39100.0,1.0,1,agq,1075.0
All countries,53400.0,1.0,1,agr,1075.0
All countries,34800.0,1.0,1,ags,1075.0
All countries,780.0,1.0,1,agt,1075.0
All countries,10100.0,1.0,1,agu,1075.0
All countries,2530.0,1.0,1,agv,1075.0
All countries,5170.0,1.0,1,agw,1075.0
All countries,29300.0,1.0,1,agx,1075.0
All countries,450.0,1.0,1,agy,1075.0
All countries,1500.0,1.0,1,agz,1075.0
All countries,175000.0,1.0,1,aha,1075.0
All countries,950.0,1.0,1,ahb,1075.0
All countries,1650.0,1.0,1,ahg,1075.0
All countries,3000.0,1.0,1,ahh,1075.0
All countries,9000.0,1.0,1,ahi,1075.0
All countries,616600.0,0.2988503074575621,5,ahk,21.0
All countries,7600.0,1.0,1,ahl,1075.0
All countries,2000.0,1.0,1,ahm,1075.0
All countries,300.0,1.0,1,ahn,1075.0
All countries,6500.0,1.0,1,ahp,1075.0
All countries,1640000.0,1.0,1,ahr,1075.0
All countries,40000.0,1.0,1,ahs,1075.0
All countries,30.0,1.0,1,aht,1075.0
All countries,6750.0,1.0,1,aia,1075.0
All countries,12000.0,1.0,1,aib,1075.0
All countries,100.0,1.0,1,aic,1075.0
All countries,230.0,1.0,1,aie,1075.0
All countries,960.0,1.0,1,aif,1075.0
All countries,159520.0,0.2977558238909306,7,aig,20.0
All countries,3000.0,1.0,1,aih,1075.0
All countries,625170.0,0.2091707235231166,17,aii,7.0
All countries,3500.0,1.0,1,aij,1075.0
All countries,3000.0,1.0,1,aik,1075.0
All countries,300.0,1.0,1,ail,1075.0
All countries,2640.0,1.0,1,aim,1075.0
All countries,2.0,1.0,1,ain,1075.0
All countries,1500.0,1.0,1,aio,1075.0
All countries,40.0,1.0,1,aip,1075.0
All countries,721900.0,0.5472975082435205,3,aiq,270.0
All countries,1000.0,1.0,1,air,1075.0
All countries,285000.0,1.0,1,aiw,1075.0
All countries,2100.0,1.0,1,aix,1075.0
All countries,35000.0,1.0,1,aiy,1075.0
All countries,200.0,1.0,1,aja,1075.0
All countries,1131000.0,0.7204573935571832,2,ajg,514.0
All countries,5360.0,1.0,1,aji,1075.0
All countries,12442990.0,0.3199061109830338,13,ajp,23.0
All countries,10500.0,0.909297052154195,2,ajt,801.0
All countries,61930.0,0.7531943121689639,2,aju,559.0
All countries,125000.0,1.0,1,ajz,1075.0
All countries,8327000.0,0.9464531775505215,7,aka,893.0
All countries,750000.0,1.0,1,akb,1075.0
All countries,7000.0,1.0,1,akc,1075.0
All countries,11400.0,1.0,1,akd,1075.0
All countries,6380.0,0.569284893033677,3,ake,310.0
All countries,26900.0,1.0,1,akf,1075.0
All countries,16000.0,1.0,1,akg,1075.0
All countries,40000.0,1.0,1,akh,1075.0
All countries,1790.0,1.0,1,aki,1075.0
All countries,3.0,1.0,1,akj,1075.0
All countries,549600.0,0.9178071017376142,2,akl,819.0
All countries,71900.0,1.0,1,akp,1075.0
All countries,10.0,1.0,1,akq,1075.0
All countries,8.0,1.0,1,akr,1075.0
All countries,59200.0,1.0,1,aks,1075.0
All countries,1970.0,1.0,1,akt,1075.0
All countries,1400.0,1.0,1,aku,1075.0
All countries,210.0,1.0,2,akv,1075.0
All countries,42000.0,1.0,1,akw,1075.0
All countries,370.0,1.0,1,akz,1075.0
All countries,100000.0,1.0,1,ala,1075.0
All countries,12.0,1.0,1,alc,1075.0
All countries,23000.0,1.0,1,ald,1075.0
All countries,155.0,0.9375650364203956,2,ale,860.0
All countries,16300.0,1.0,1,alf,1075.0
All countries,4.0,1.0,1,alh,1075.0
All countries,1780.0,1.0,1,ali,1075.0
All countries,14600.0,1.0,1,alj,1075.0
All countries,25000.0,1.0,1,alk,1075.0
All countries,350.0,1.0,1,all,1075.0
All countries,150.0,1.0,1,alm,1075.0
All countries,3901870.0,0.29353894181580203,12,aln,19.0
All countries,12600.0,1.0,1,alo,1075.0
All countries,17200.0,1.0,1,alp,1075.0
All countries,1760.0,1.0,1,alq,1075.0
All countries,25.0,1.0,1,alr,1075.0
All countries,1826830.0,0.742603397081532,11,als,544.0
All countries,57400.0,1.0,1,alt,1075.0
All countries,17900.0,1.0,1,alu,1075.0
All countries,278000.0,1.0,1,alw,1075.0
All countries,500.0,1.0,1,alx,1075.0
All countries,1550.0,1.0,1,aly,1075.0
All countries,1735000.0,0.5091729023577971,2,alz,169.0
All countries,1000.0,1.0,1,amb,1075.0
All countries,520.0,0.5118343195266272,2,amc,181.0
All countries,7520.0,1.0,1,ame,1075.0
All countries,74400.0,1.0,1,amf,1075.0
All countries,1.0,1.0,1,amg,1075.0
All countries,32345260.0,0.9666300009704342,13,amh,948.0
All countries,108000.0,1.0,1,ami,1075.0
All countries,41100.0,1.0,1,amj,1075.0
All countries,10100.0,1.0,1,amk,1075.0
All countries,67600.0,0.6386681138615595,2,aml,421.0
All countries,490.0,1.0,1,amm,1075.0
All countries,4420.0,1.0,1,amn,1075.0
All countries,12300.0,1.0,1,amo,1075.0
All countries,1000.0,1.0,1,amp,1075.0
All countries,50.0,1.0,1,amq,1075.0
All countries,1910.0,1.0,1,amr,1075.0
All countries,1800.0,1.0,1,ams,1075.0
All countries,500.0,1.0,1,amt,1075.0
All countries,45900.0,1.0,1,amu,1075.0
All countries,5700.0,1.0,1,amv,1075.0
All countries,21900.0,0.7569692041450344,2,amw,566.0
All countries,640.0,1.0,1,amx,1075.0
All countries,30.0,1.0,1,amy,1075.0
All countries,659000.0,1.0,1,anc,1075.0
All countries,4600.0,1.0,1,and,1075.0
All countries,5730.0,1.0,1,ane,1075.0
All countries,700.0,1.0,1,anf,1075.0
All countries,2000.0,1.0,1,anh,1075.0
All countries,5800.0,1.0,1,ani,1075.0
All countries,980.0,1.0,1,anj,1075.0
All countries,361000.0,1.0,1,ank,1075.0
All countries,4000.0,1.0,1,anl,1075.0
All countries,27250.0,0.996337008669304,2,anm,1047.0
All countries,250000.0,1.0,1,ann,1075.0
All countries,370.0,1.0,1,ano,1075.0
All countries,743600.0,0.951224448989997,2,anp,901.0
All countries,340.0,1.0,1,anq,1075.0
All countries,100000.0,1.0,1,anr,1075.0
All countries,221600.0,0.5166185536107599,2,anu,203.0
All countries,11200.0,1.0,1,anv,1075.0
All countries,2740000.0,1.0,1,anw,1075.0
All countries,1500.0,1.0,1,anx,1075.0
All countries,1506400.0,0.9157286496362202,2,any,816.0
All countries,830.0,1.0,1,anz,1075.0
All countries,7900.0,1.0,1,aoa,1075.0
All countries,3.0,1.0,1,aob,1075.0
All countries,24080.0,0.9210894471363451,3,aoc,824.0
All countries,2100.0,1.0,1,aod,1075.0
All countries,34420.0,1.0,1,aoe,1075.0
All countries,460.0,1.0,1,aof,1075.0
All countries,8220.0,1.0,1,aog,1075.0
All countries,1480.0,1.0,1,aoi,1075.0
All countries,11000.0,1.0,1,aoj,1075.0
All countries,10.0,1.0,1,aok,1075.0
All countries,25000.0,1.0,1,aol,1075.0
All countries,1190.0,1.0,1,aom,1075.0
All countries,4340.0,1.0,1,aon,1075.0
All countries,500.0,1.0,1,aos,1075.0
All countries,10000.0,0.5032000000000001,2,aot,144.0
All countries,50.0,1.0,1,aou,1075.0
All countries,700000.0,1.0,1,aoz,1075.0
All countries,11500.0,1.0,1,apb,1075.0
All countries,25707740.0,0.3965418156186665,33,apc,48.0
All countries,33363260.0,0.8173158103338132,11,apd,670.0
All countries,16200.0,1.0,1,ape,1075.0
All countries,1700.0,1.0,1,apf,1075.0
All countries,30000.0,1.0,1,apg,1075.0
All countries,5530.0,1.0,1,aph,1075.0
All countries,510.0,1.0,1,apj,1075.0
All countries,150.0,1.0,1,apm,1075.0
All countries,1500.0,1.0,1,apn,1075.0
All countries,1200.0,1.0,1,apo,1075.0
All countries,10000.0,1.0,1,app,1075.0
All countries,4500.0,1.0,1,apr,1075.0
All countries,1500.0,1.0,1,aps,1075.0
All countries,44800.0,1.0,1,apt,1075.0
All countries,2000.0,1.0,1,apu,1075.0
All countries,14000.0,1.0,1,apw,1075.0
All countries,150.0,1.0,1,apx,1075.0
All countries,450.0,1.0,1,apy,1075.0
All countries,4650.0,1.0,1,apz,1075.0
All countries,970.0,1.0,1,aqc,1075.0
All countries,5200.0,1.0,1,aqd,1075.0
All countries,48000.0,1.0,1,aqg,1075.0
All countries,500.0,1.0,1,aqk,1075.0
All countries,1000.0,1.0,1,aqm,1075.0
All countries,250.0,1.0,1,aqn,1075.0
All countries,170.0,1.0,1,aqr,1075.0
All countries,1030.0,1.0,1,aqt,1075.0
All countries,5.0,1.0,1,aqz,1075.0
All countries,15.0,1.0,1,ard,1075.0
All countries,440.0,1.0,1,are,1075.0
All countries,10000.0,1.0,1,arg,1075.0
All countries,8000.0,1.0,1,arh,1075.0
All countries,10.0,1.0,1,ari,1075.0
All countries,50.0,1.0,1,arl,1075.0
All countries,258410.0,0.9370280172205265,2,arn,859.0
All countries,110.0,1.0,1,aro,1075.0
All countries,1070.0,1.0,1,arp,1075.0
All countries,30793970.0,0.7799437583283296,11,arq,604.0
All countries,200.0,1.0,1,arr,1075.0
All countries,18236000.0,0.6558136272442887,6,ars,444.0
All countries,7210.0,1.0,1,arv,1075.0
All countries,2510.0,0.4224218663195823,4,arw,59.0
All countries,12.0,1.0,1,arx,1075.0
All countries,28019650.0,0.6748266917285111,14,ary,462.0
All countries,69985510.0,0.9167572677716437,20,arz,817.0
All countries,530000.0,1.0,1,asa,1075.0
All countries,150.0,1.0,1,asb,1075.0
All countries,9000.0,1.0,1,asc,1075.0
All countries,729260.0,0.2083894430290666,23,ase,6.0
All countries,10100.0,1.0,1,asf,1075.0
All countries,100000.0,1.0,1,asg,1075.0
All countries,1000.0,1.0,1,asi,1075.0
All countries,7600.0,1.0,1,asj,1075.0
All countries,40000.0,1.0,1,ask,1075.0
All countries,8760.0,1.0,1,asl,1075.0
All countries,15326200.0,0.9965868628443517,2,asm,1051.0
All countries,120.0,1.0,1,asn,1075.0
All countries,30000.0,1.0,1,aso,1075.0
All countries,240000.0,1.0,1,asp,1075.0
All countries,8000.0,1.0,1,asq,1075.0
All countries,7000.0,1.0,1,asr,1075.0
All countries,2500.0,1.0,1,ass,1075.0
All countries,110000.0,0.8347107438016528,2,ast,703.0
All countries,380.0,1.0,1,asu,1075.0
All countries,25500.0,1.0,1,asv,1075.0
All countries,1440.0,1.0,1,asx,1075.0
All countries,2000.0,1.0,1,asy,1075.0
All countries,6.0,1.0,1,asz,1075.0
All countries,2000.0,1.0,1,ata,1075.0
All countries,110000.0,0.6033057851239669,2,atb,358.0
All countries,11600.0,1.0,1,atd,1075.0
All countries,8.0,1.0,1,ate,1075.0
All countries,20000.0,1.0,1,atg,1075.0
All countries,642000.0,1.0,1,ati,1075.0
All countries,6160.0,1.0,1,atj,1075.0
All countries,1500.0,1.0,1,atk,1075.0
All countries,150.0,1.0,1,atl,1075.0
All countries,3.0,1.0,1,atm,1075.0
All countries,26400.0,1.0,1,atn,1075.0
All countries,4200.0,1.0,1,ato,1075.0
All countries,710.0,1.0,1,atp,1075.0
All countries,29300.0,1.0,1,atq,1075.0
All countries,2010.0,1.0,1,atr,1075.0
All countries,1000.0,1.0,1,att,1075.0
All countries,116000.0,1.0,1,atu,1075.0
All countries,57400.0,1.0,1,atv,1075.0
All countries,900.0,1.0,1,aty,1075.0
All countries,11.0,1.0,1,atz,1075.0
All countries,10.0,1.0,1,aua,1075.0
All countries,3500.0,1.0,1,aub,1075.0
All countries,1650.0,1.0,1,auc,1075.0
All countries,270.0,1.0,1,aud,1075.0
All countries,28000.0,0.5,2,aug,98.0
All countries,100000.0,1.0,1,auh,1075.0
All countries,630.0,1.0,1,aui,1075.0
All countries,2500.0,1.0,1,auj,1075.0
All countries,1500.0,1.0,1,auk,1075.0
All countries,750.0,1.0,1,aul,1075.0
All countries,5000.0,1.0,1,aum,1075.0
All countries,500.0,1.0,1,aun,1075.0
All countries,1300.0,1.0,1,aup,1075.0
All countries,320.0,1.0,1,auq,1075.0
All countries,740.0,1.0,1,aur,1075.0
All countries,3000.0,1.0,1,aut,1075.0
All countries,350.0,1.0,1,auu,1075.0
All countries,350.0,1.0,1,auw,1075.0
All countries,11100.0,1.0,1,auy,1075.0
All countries,700.0,1.0,1,auz,1075.0
All countries,765300.0,0.8765876669110133,4,ava,763.0
All countries,620.0,1.0,1,avb,1075.0
All countries,21000.0,1.0,1,avi,1075.0
All countries,2435900.0,0.4151620925613396,5,avl,56.0
All countries,27200.0,1.0,1,avn,1075.0
All countries,8000.0,1.0,1,avt,1075.0
All countries,99000.0,0.6224875012753801,2,avu,393.0
All countries,4352000.0,0.7959123763246108,2,awa,629.0
All countries,2050.0,1.0,1,awb,1075.0
All countries,20000.0,1.0,1,awc,1075.0
All countries,170.0,1.0,1,awe,1075.0
All countries,100.0,1.0,1,awh,1075.0
All countries,21100.0,1.0,1,awi,1075.0
All countries,320.0,1.0,1,awm,1075.0
All countries,489000.0,1.0,1,awn,1075.0
All countries,6000.0,1.0,1,awo,1075.0
All countries,70.0,1.0,1,awr,1075.0
All countries,9340.0,1.0,1,aws,1075.0
All countries,340.0,1.0,1,awt,1075.0
All countries,7500.0,1.0,1,awu,1075.0
All countries,2300.0,1.0,1,awv,1075.0
All countries,400.0,1.0,1,aww,1075.0
All countries,1800.0,1.0,1,awx,1075.0
All countries,3870.0,1.0,1,awy,1075.0
All countries,30000.0,0.5,2,axk,98.0
All countries,760.0,1.0,1,axx,1075.0
All countries,900.0,1.0,1,aya,1075.0
All countries,476000.0,1.0,1,ayb,1075.0
All countries,213000.0,1.0,1,ayc,1075.0
All countries,3000.0,1.0,1,aye,1075.0
All countries,16500.0,1.0,1,ayg,1075.0
All countries,4943000.0,0.9947538700235894,2,ayh,1036.0
All countries,10000.0,1.0,1,ayi,1075.0
All countries,5036290.0,0.7320581447627927,6,ayl,535.0
All countries,12164000.0,0.957535299930869,2,ayn,919.0
All countries,4650.0,0.5016857440166493,2,ayo,137.0
All countries,10266200.0,0.7571229543131419,6,ayp,568.0
All countries,430.0,1.0,1,ayq,1075.0
All countries,1464100.0,0.5563710747305124,4,ayr,291.0
All countries,15.0,1.0,1,ays,1075.0
All countries,1000.0,1.0,1,ayt,1075.0
All countries,800.0,1.0,1,ayu,1075.0
All countries,20000.0,1.0,1,ayz,1075.0
All countries,53000.0,1.0,1,aza,1075.0
All countries,14640650.0,0.6246504475092017,8,azb,396.0
All countries,400.0,1.0,1,azd,1075.0
All countries,5200.0,1.0,1,azg,1075.0
All countries,9219950.0,0.8040899260049779,14,azj,649.0
All countries,2030.0,1.0,1,azm,1075.0
All countries,900.0,1.0,1,azn,1075.0
All countries,19000.0,1.0,1,azo,1075.0
All countries,300.0,1.0,1,azt,1075.0
All countries,125000.0,1.0,1,azz,1075.0
All countries,7070.0,1.0,1,baa,1075.0
All countries,10800.0,1.0,1,bab,1075.0
All countries,20000.0,1.0,1,bac,1075.0
All countries,2.0,1.0,1,bae,1075.0
All countries,4500.0,1.0,1,baf,1075.0
All countries,26000.0,1.0,1,bag,1075.0
All countries,328000.0,1.0,1,bah,1075.0
All countries,4450.0,1.0,1,baj,1075.0
All countries,1233700.0,0.8706518721893072,5,bak,756.0
All countries,4181800.0,0.9155462154129215,6,bam,814.0
All countries,3300000.0,1.0,1,ban,1075.0
All countries,131.0,0.7307849192937474,2,bao,529.0
All countries,166600.0,0.6580663477876145,3,bap,446.0
All countries,14539000.0,0.49493676442623186,4,bar,93.0
All countries,300000.0,1.0,1,bas,1075.0
All countries,40000.0,1.0,1,bau,1075.0
All countries,27000.0,1.0,1,bav,1075.0
All countries,12500.0,1.0,1,baw,1075.0
All countries,420000.0,1.0,1,bax,1075.0
All countries,3640.0,1.0,1,bay,1075.0
All countries,1041000.0,0.8263326569350207,2,bba,683.0
All countries,3500.0,1.0,1,bbb,1075.0
All countries,2000000.0,1.0,1,bbc,1075.0
All countries,3150.0,1.0,1,bbd,1075.0
All countries,11000.0,1.0,1,bbe,1075.0
All countries,340.0,1.0,1,bbf,1075.0
All countries,1000.0,1.0,1,bbg,1075.0
All countries,2700.0,1.0,1,bbh,1075.0
All countries,3000.0,1.0,1,bbi,1075.0
All countries,350000.0,1.0,1,bbj,1075.0
All countries,39000.0,1.0,1,bbk,1075.0
All countries,600.0,1.0,1,bbl,1075.0
All countries,2550.0,1.0,1,bbm,1075.0
All countries,12000.0,1.0,1,bbn,1075.0
All countries,60000.0,0.513888888888889,2,bbo,186.0
All countries,7500.0,0.52,2,bbp,206.0
All countries,10800.0,1.0,1,bbq,1075.0
All countries,3630.0,1.0,1,bbr,1075.0
All countries,12000.0,1.0,1,bbt,1075.0
All countries,40000.0,1.0,1,bbu,1075.0
All countries,520.0,1.0,1,bbv,1075.0
All countries,24500.0,1.0,1,bbw,1075.0
All countries,600.0,1.0,1,bbx,1075.0
All countries,9000.0,1.0,1,bby,1075.0
All countries,800000.0,1.0,1,bca,1075.0
All countries,1850.0,1.0,1,bcb,1075.0
All countries,3636700.0,0.4880659696758456,6,bcc,87.0
All countries,1000.0,1.0,1,bcd,1075.0
All countries,5300.0,1.0,1,bce,1075.0
All countries,6310.0,1.0,1,bcf,1075.0
All countries,3700.0,1.0,1,bcg,1075.0
All countries,1400.0,1.0,1,bch,1075.0
All countries,4654060.0,0.9982568087939703,2,bci,1063.0
All countries,30.0,1.0,1,bcj,1075.0
All countries,41.0,1.0,1,bck,1075.0
All countries,2500000.0,1.0,1,bcl,1075.0
All countries,4500.0,1.0,1,bcm,1075.0
All countries,2000.0,1.0,1,bcn,1075.0
All countries,3100.0,1.0,1,bco,1075.0
All countries,42000.0,1.0,1,bcp,1075.0
All countries,348000.0,1.0,1,bcq,1075.0
All countries,430.0,1.0,1,bcr,1075.0
All countries,30000.0,1.0,1,bcs,1075.0
All countries,32000.0,1.0,1,bct,1075.0
All countries,1450.0,1.0,1,bcu,1075.0
All countries,10000.0,1.0,1,bcv,1075.0
All countries,23000.0,1.0,1,bcw,1075.0
All countries,289000.0,1.0,1,bcy,1075.0
All countries,30000.0,1.0,1,bcz,1075.0
All countries,28340.0,0.694156400079885,2,bda,491.0
All countries,15000.0,1.0,1,bdb,1075.0
All countries,5000.0,1.0,1,bdc,1075.0
All countries,4000.0,1.0,1,bdd,1075.0
All countries,338000.0,1.0,1,bde,1075.0
All countries,1100.0,1.0,1,bdf,1075.0
All countries,62300.0,0.9591372971357461,2,bdh,922.0
All countries,46000.0,1.0,1,bdi,1075.0
All countries,2500.0,1.0,1,bdj,1075.0
All countries,200.0,1.0,1,bdk,1075.0
All countries,226000.0,1.0,1,bdl,1075.0
All countries,54800.0,0.8896318397357343,3,bdm,779.0
All countries,4500.0,1.0,1,bdo,1075.0
All countries,41000.0,1.0,1,bdp,1075.0
All countries,228000.0,1.0,1,bdq,1075.0
All countries,10700.0,1.0,1,bdr,1075.0
All countries,28000.0,1.0,1,bds,1075.0
All countries,130000.0,1.0,1,bdt,1075.0
All countries,106000.0,1.0,1,bdu,1075.0
All countries,50000.0,1.0,1,bdv,1075.0
All countries,1100.0,1.0,1,bdw,1075.0
All countries,180.0,1.0,1,bdx,1075.0
All countries,110.0,1.0,1,bdy,1075.0
All countries,160.0,1.0,1,bea,1075.0
All countries,24000.0,1.0,1,beb,1075.0
All countries,12000.0,0.513888888888889,2,bec,186.0
All countries,180.0,1.0,1,bed,1075.0
All countries,3310.0,0.7520285503053095,2,bee,557.0
All countries,45000.0,1.0,1,bef,1075.0
All countries,1130.0,1.0,1,beg,1075.0
All countries,166080.0,0.9517934632797622,3,beh,904.0
All countries,4000.0,1.0,1,bei,1075.0
All countries,2498000.0,0.7972318607488071,3,bej,633.0
All countries,3130.0,1.0,1,bek,1075.0
All countries,2634980.0,0.7218656867600629,15,bel,516.0
All countries,4110000.0,0.8646704672598433,2,bem,750.0
All countries,228651040.0,0.5013788418269159,24,ben,132.0
All countries,5000.0,1.0,1,beo,1075.0
All countries,4280.0,1.0,1,bep,1075.0
All countries,100000.0,1.0,1,beq,1075.0
All countries,1230.0,1.0,1,bes,1075.0
All countries,130000.0,1.0,1,bet,1075.0
All countries,11000.0,1.0,1,beu,1075.0
All countries,130000.0,1.0,1,bev,1075.0
All countries,5000000.0,1.0,1,bew,1075.0
All countries,180000.0,1.0,1,bex,1075.0
All countries,2200.0,1.0,1,bey,1075.0
All countries,592000.0,1.0,1,bez,1075.0
All countries,766000.0,1.0,1,bfa,1075.0
All countries,991000.0,1.0,1,bfb,1075.0
All countries,35000.0,1.0,1,bfc,1075.0
All countries,100000.0,1.0,1,bfd,1075.0
All countries,600.0,1.0,1,bfe,1075.0
All countries,23500.0,1.0,1,bff,1075.0
All countries,3000.0,1.0,1,bfg,1075.0
All countries,550.0,1.0,1,bfh,1075.0
All countries,87085.0,0.998049789628968,2,bfi,1061.0
