,L1_Users,ISO_HHI,count,ISO_639,hhi_rank
All countries,9000.0,1.0,1,aaa,1863.0
All countries,7000.0,1.0,1,aab,1863.0
All countries,50.0,1.0,1,aac,1863.0
All countries,830.0,1.0,1,aad,1863.0
All countries,100000.0,1.0,1,aae,1863.0
All countries,200.0,1.0,1,aaf,1863.0
All countries,290.0,1.0,1,aag,1863.0
All countries,2560.0,1.0,1,aah,1863.0
All countries,3470.0,1.0,1,aai,1863.0
All countries,1500.0,1.0,1,aak,1863.0
All countries,5000.0,1.0,1,aal,1863.0
All countries,6.0,1.0,1,aan,1863.0
All countries,243000.0,0.4038849091432539,4,aao,837.0
All countries,340.0,1.0,1,aap,1863.0
All countries,0.0,0.0,0,aaq,1.0
All countries,2541000.0,0.5698037428208085,3,aar,1099.0
All countries,0.0,0.0,0,aas,1.0
All countries,50000.0,1.0,1,aat,1863.0
All countries,7500.0,1.0,1,aau,1863.0
All countries,4160.0,1.0,1,aaw,1863.0
All countries,10000.0,1.0,1,aax,1863.0
All countries,70000.0,1.0,1,aaz,1863.0
All countries,268000.0,1.0,1,aba,1863.0
All countries,12000.0,1.0,1,abb,1863.0
All countries,1660.0,1.0,1,abc,1863.0
All countries,3800.0,1.0,1,abd,1863.0
All countries,14.0,0.5918367346938775,2,abe,1134.0
All countries,0.0,0.0,0,abf,1.0
All countries,600.0,1.0,1,abg,1863.0
All countries,17300.0,0.8610043770256273,2,abh,1532.0
All countries,85000.0,1.0,1,abi,1863.0
All countries,0.0,0.0,0,abj,1.0
All countries,194390.0,0.5054337598836096,5,abk,941.0
All countries,180000.0,1.0,1,abl,1863.0
All countries,12500.0,1.0,1,abm,1863.0
All countries,25000.0,1.0,1,abn,1863.0
All countries,1000.0,1.0,1,abo,1863.0
All countries,3000.0,1.0,1,abp,1863.0
All countries,51000.0,0.6163321799307959,2,abq,1169.0
All countries,1393000.0,0.7310828576272812,2,abr,1319.0
All countries,250900.0,0.6765728669734352,2,abs,1256.0
All countries,33000.0,1.0,1,abt,1863.0
All countries,93000.0,1.0,1,abu,1863.0
All countries,889900.0,0.9605799566045652,2,abv,1716.0
All countries,1160.0,1.0,1,abw,1863.0
All countries,26400.0,1.0,1,abx,1863.0
All countries,650.0,1.0,1,aby,1863.0
All countries,16000.0,1.0,1,abz,1863.0
All countries,250.0,1.0,1,aca,1863.0
All countries,0.0,0.0,0,acb,1.0
All countries,10400.0,1.0,1,acd,1863.0
